Ma_sinh_vien,Ho,Ten,Gioi_tinh,Ngay_sinh,Mail,Di_dong,CMND,Hoc_bong,Ma_khoa
C0028,Lâm Nam,Sinh,TRUE,1999-07-24 0:00:00,lnsinh@gmail.com,168613393,747111658838,0,CN
C0029,Khương Ngọc,Minh,TRUE,1999-10-28 0:00:00,knminh@gmail.com,168792295,545397337618,1000000,CN
C0030,Phạm Vĩnh,Phong,TRUE,1999-09-05 0:00:00,pvphong@gmail.com,913803291,153237946751,2000000,CN
C0031,Lý Thảo,Thúy,FALSE,1999-07-05 0:00:00,ltthuy@gmail.com,987566402,13098347676,3000000,CN
C0032,Mã Thị,Ly,FALSE,1999-05-30 0:00:00,mtly@gmail.com,168675486,822643610887,0,CN
C0033,Mã Văn Minh,Trọng,TRUE,1999-09-03 0:00:00,mvmtrong@gmail.com,987078641,532328788440,3000000,CN
C0034,Thái Minh,Phương,TRUE,1999-07-09 0:00:00,tmphuong@gmail.com,987687468,925518195176,3000000,CN
C0035,Văn Phú,Tâm,TRUE,1999-02-07 0:00:00,vptam@gmail.com,913852739,445786618758,0,CN
C0036,Lý Minh,Minh,FALSE,1999-09-13 0:00:00,lmminh@gmail.com,987364828,112484556945,2000000,CN
C0037,Cao Văn Minh,Phong,TRUE,1999-08-12 0:00:00,cvmphong@gmail.com,913652620,526508349404,1000000,CN
C0038,Mã Bạch,Mỹ,TRUE,1999-07-18 0:00:00,mbmy@gmail.com,913563968,553672304485,0,CN
C0039,Cao Mạnh,Thiện,TRUE,1999-03-20 0:00:00,cmthien@gmail.com,987842511,793370470912,0,CN
C0040,Thái Thảo,Hoa,FALSE,1999-02-03 0:00:00,tthoa@gmail.com,913128448,470038563157,0,CN
C0041,Bạch Văn,Hiệu,TRUE,1999-10-06 0:00:00,bvhieu@gmail.com,987465746,212395601335,2000000,CN
C0042,Đàm Vĩnh,Dũng,TRUE,1999-08-04 0:00:00,dvdung@gmail.com,913702776,237164154244,3000000,CN
C0043,Bạch Thị Thanh,Nhung,FALSE,1999-10-30 0:00:00,bttnhung@gmail.com,168114496,40440424749,3000000,CN
C0044,Bạch Thị,Thúy,FALSE,1999-11-09 0:00:00,btthuy@gmail.com,987681542,483340458851,0,CN
C0045,Thái Nam,Tân,TRUE,1999-01-03 0:00:00,tntan@gmail.com,168841324,676458978939,3000000,CN
C0046,Bạch Nam,Huy,TRUE,1999-05-14 0:00:00,bnhuy@gmail.com,913533371,252192066524,0,CN
C0047,Lê Văn Minh,Thiệu,TRUE,1999-05-12 0:00:00,lvmthieu@gmail.com,913101488,597631265016,2000000,CN
C0048,Đàm Thảo,Hoa,FALSE,1999-09-12 0:00:00,dthoa@gmail.com,913416223,941151719519,1000000,CN
C0049,Lý Văn,Dũng,TRUE,1999-09-12 0:00:00,lvdung@gmail.com,913541297,618232837549,3000000,CN
C0050,Trần Minh,Ngân,TRUE,1999-11-13 0:00:00,tmngan@gmail.com,987775844,721151517252,2000000,CN
C0051,Lâm Thị Thảo,Loan,FALSE,1999-01-09 0:00:00,lttloan@gmail.com,168418373,311628625536,0,CN
C0052,Lê Thị Thảo,Ly,FALSE,1999-02-14 0:00:00,lttly@gmail.com,168434476,874368763621,1000000,CN
C0053,Hoàng Văn,Phong,TRUE,1999-06-29 0:00:00,hvphong@gmail.com,168238108,517573018661,2000000,CN
C0054,Lý Vĩnh,Sinh,TRUE,1999-05-25 0:00:00,lvsinh@gmail.com,913134764,145528667746,0,CN
C0055,Lê Thảo,Hương,FALSE,1999-11-06 0:00:00,lthuong@gmail.com,168706154,676648731450,2000000,CN
C0056,Thái Thảo,Đào,FALSE,1999-09-19 0:00:00,ttdao@gmail.com,987815189,516795333424,0,CN
C0057,Vương Thị Thảo,Hạnh,FALSE,1999-03-18 0:00:00,vtthanh@gmail.com,168116314,617118944211,3000000,CN
C0058,Trần Văn Minh,Tuấn,TRUE,1999-05-30 0:00:00,tvmtuan@gmail.com,913176166,516553888135,1000000,CN
C0059,Thái Thảo,Trúc,FALSE,1999-07-08 0:00:00,tttruc@gmail.com,987863212,443853693305,2000000,CN
C0060,Văn Thị,Lan,FALSE,1999-05-20 0:00:00,vtlan@gmail.com,913926778,772255381968,3000000,CN
C0061,Đặng Vĩnh,Sinh,TRUE,1999-10-07 0:00:00,dvsinh@gmail.com,168640925,526139812378,2000000,CN
C0062,Hoàng Thị Thanh,Đào,FALSE,1999-10-02 0:00:00,httdao@gmail.com,913323153,516686165844,3000000,CN
C0063,Đặng Nam,Lộc,TRUE,1999-09-26 0:00:00,dnloc@gmail.com,987122436,318832473437,0,CN
C0064,Lâm Vĩnh,Thiệu,TRUE,1999-07-08 0:00:00,lvthieu@gmail.com,987456418,510234875224,2000000,CN
C0065,Lâm Thảo,Trúc,FALSE,1999-09-19 0:00:00,lttruc@gmail.com,987113162,613542186162,3000000,CN
C0066,Mã Phú,Tâm,FALSE,1999-12-28 0:00:00,mptam@gmail.com,987340442,67145136407,2000000,CN
C0067,Lâm Thảo,Hạnh,FALSE,1999-11-20 0:00:00,lthanh@gmail.com,913675266,294514656243,0,CN
C0068,Khương Vĩnh,Sinh,TRUE,1999-01-02 0:00:00,kvsinh@gmail.com,987841607,914741875843,0,CN
C0069,Cao Nam,Tuấn,TRUE,1999-10-22 0:00:00,cntuan@gmail.com,987760225,271368304726,2000000,CN
C0070,Đặng Thị,Nhung,FALSE,1999-09-29 0:00:00,dtnhung@gmail.com,987233358,458167981145,0,CN
C0071,Khương Thanh,Thanh,FALSE,1999-03-13 0:00:00,ktthanh@gmail.com,168852812,942543336435,0,CN
C0072,Thái Mạnh,Lộc,TRUE,1999-12-05 0:00:00,tmloc@gmail.com,987155833,55768329142,3000000,CN
C0073,Trần Thảo,Hạnh,FALSE,1999-03-23 0:00:00,tthanh@gmail.com,987718558,451357224741,1000000,CN
C0074,Thái Thảo,Nga,FALSE,1999-02-23 0:00:00,ttnga@gmail.com,168122579,443293205719,3000000,CN
C0075,Lê Thảo,Hoa,FALSE,1999-05-15 0:00:00,lthoa@gmail.com,913243932,662273790256,3000000,CN
C0076,Nguyễn Thanh,Phương,TRUE,1999-02-20 0:00:00,ntphuong@gmail.com,913347446,287315632735,3000000,CN
C0077,Lâm Minh,Ngọc,TRUE,1999-06-12 0:00:00,lmngoc@gmail.com,913451494,288671403446,2000000,CN
C0078,Đinh Phú,Thanh,FALSE,1999-02-04 0:00:00,dpthanh@gmail.com,987088328,613575775966,2000000,CN
C0079,Cao Thị Thanh,Trúc,FALSE,1999-03-06 0:00:00,ctttruc@gmail.com,168428594,525845671504,1000000,CN
C0080,Bạch Thanh,Thanh,FALSE,1999-01-04 0:00:00,btthanh@gmail.com,913843497,169614465950,3000000,CN
C0081,Bạch Thị,Thúy,FALSE,1999-10-26 0:00:00,btthuy@gmail.com,913278353,284278757522,3000000,CN
C0082,Đàm Phương,Ngân,TRUE,1999-02-23 0:00:00,dpngan@gmail.com,168192289,671904984705,0,CN
C0083,Văn Thị,Ly,FALSE,1999-12-28 0:00:00,vtly@gmail.com,913826240,522583923577,2000000,CN
C0084,Bạch Phương,Ngọc,TRUE,1999-02-19 0:00:00,bpngoc@gmail.com,913184553,883019433248,0,CN
C0085,Nguyễn Thảo,Trúc,FALSE,1999-01-27 0:00:00,nttruc@gmail.com,913741348,406305473473,2000000,CN
C0086,Văn Văn Minh,Thăng,TRUE,1999-10-21 0:00:00,vvmthang@gmail.com,913252673,131114664148,2000000,CN
C0087,Đinh Thảo,Trúc,FALSE,1999-05-06 0:00:00,dttruc@gmail.com,987772773,866951746664,1000000,CN
C0088,Đinh Văn Minh,Thiệu,TRUE,1999-06-04 0:00:00,dvmthieu@gmail.com,913837727,526414384848,1000000,CN
C0089,Lâm Mạnh,Phong,TRUE,1999-02-25 0:00:00,lmphong@gmail.com,168544311,331825385257,2000000,CN
C0090,Thái Văn Minh,Sinh,TRUE,1999-05-04 0:00:00,tvmsinh@gmail.com,987637112,851917606722,2000000,CN
C0091,Nguyễn Thảo,Ly,FALSE,1999-11-07 0:00:00,ntly@gmail.com,913147858,603340642051,2000000,CN
C0092,Trần Thảo,Nhung,FALSE,1999-09-25 0:00:00,ttnhung@gmail.com,913676681,875143466950,1000000,CN
C0093,Bạch Vĩnh,Lộc,TRUE,1999-04-04 0:00:00,bvloc@gmail.com,987332563,815761759293,0,CN
C0094,Lê Nam,Thiệu,TRUE,1999-02-25 0:00:00,lnthieu@gmail.com,987884525,687543421219,3000000,CN
C0095,Cao Nam,Dũng,TRUE,1999-09-15 0:00:00,cndung@gmail.com,913309378,328121584033,3000000,CN
C0096,Văn Ngọc,Ngọc,FALSE,1999-11-22 0:00:00,vnngoc@gmail.com,913166025,337766688433,3000000,CN
C0097,Phạm Thị Thanh,Lan,FALSE,1999-08-07 0:00:00,pttlan@gmail.com,987159337,518644964204,2000000,CN
C0098,Văn Thị Thanh,Nga,FALSE,1999-06-20 0:00:00,vttnga@gmail.com,168929323,670312616514,1000000,CN
C0099,Đàm Minh,Thu,TRUE,1999-08-07 0:00:00,dmthu@gmail.com,913297897,75954405147,0,CN
C0100,Cao Văn,Huy,TRUE,1999-09-19 0:00:00,cvhuy@gmail.com,987571969,236368088716,1000000,CN
C0101,Khương Thảo,Dung,FALSE,1999-04-05 0:00:00,ktdung@gmail.com,168490255,818383527641,0,CN
C0102,Mã Thảo,Ly,FALSE,1999-05-11 0:00:00,mtly@gmail.com,913155875,222824361015,3000000,CN
C0103,Vương Văn,Hiệu,TRUE,1999-07-07 0:00:00,vvhieu@gmail.com,913040177,423261991223,0,CN
C0104,Lê Nam,Huy,TRUE,1999-04-14 0:00:00,lnhuy@gmail.com,987378557,882696553923,2000000,CN
C0105,Hoàng Vĩnh,Tân,TRUE,1999-10-11 0:00:00,hvtan@gmail.com,168442133,755741396622,3000000,CN
C0106,Thái Thảo,Lan,FALSE,1999-07-09 0:00:00,ttlan@gmail.com,987682393,788776541131,0,CN
C0107,Lâm Thị,Hương,FALSE,1999-02-07 0:00:00,lthuong@gmail.com,987542436,515657376151,0,CN
C0108,Bạch Văn Minh,Sinh,TRUE,1999-02-08 0:00:00,bvmsinh@gmail.com,168873574,657411375806,2000000,CN
C0109,Bạch Thị,Hoa,FALSE,1999-10-14 0:00:00,bthoa@gmail.com,913174720,347889227616,1000000,CN
C0110,Hoàng Nam,Huy,TRUE,1999-06-06 0:00:00,hnhuy@gmail.com,913275310,837111246336,3000000,CN
C0111,Thái Thảo,Ly,FALSE,1999-02-08 0:00:00,ttly@gmail.com,987578191,218467044376,0,CN
C0112,Phạm Thị Thanh,Nhung,FALSE,1999-01-21 0:00:00,pttnhung@gmail.com,168247951,746366546578,0,CN
C0113,Khương Văn Minh,Thiệu,TRUE,1999-05-10 0:00:00,kvmthieu@gmail.com,987682465,608831417298,0,CN
C0114,Vương Bạch,Ngọc,TRUE,1999-02-19 0:00:00,vbngoc@gmail.com,913017162,514836267938,0,CN
C0115,Hoàng Phương,Mỹ,FALSE,1999-10-21 0:00:00,hpmy@gmail.com,913812572,735328417911,0,CN
C0116,Văn Thị Thanh,Đào,FALSE,1999-03-11 0:00:00,vttdao@gmail.com,987536841,537879732291,2000000,CN
C0117,Lâm Thị Thanh,Đào,FALSE,1999-04-10 0:00:00,lttdao@gmail.com,168227373,686942154163,2000000,CN
C0118,Khương Văn,Bảo,TRUE,1999-05-10 0:00:00,kvbao@gmail.com,913445288,457626333763,1000000,CN
C0119,Cao Thảo,Thúy,FALSE,1999-03-17 0:00:00,ctthuy@gmail.com,168451848,718876653390,2000000,CN
C0120,Hoàng Văn Minh,Hòa,TRUE,1999-08-15 0:00:00,hvmhoa@gmail.com,168507265,596374804815,0,CN
C0121,Đặng Thanh,Minh,FALSE,1999-04-11 0:00:00,dtminh@gmail.com,987093434,763312562743,0,CN
C0122,Đặng Ngọc,Thanh,TRUE,1999-08-04 0:00:00,dnthanh@gmail.com,168488289,863396390717,1000000,CN
C0123,Nguyễn Văn Minh,Bảo,TRUE,1999-07-15 0:00:00,nvmbao@gmail.com,987742972,755261131243,0,CN
C0124,Đinh Thị Thanh,Loan,FALSE,1999-04-26 0:00:00,dttloan@gmail.com,913421473,333202646447,3000000,CN
C0125,Thái Phú,Ngọc,TRUE,1999-11-26 0:00:00,tpngoc@gmail.com,168112483,381872345627,2000000,CN
C0126,Đặng Nam,Trọng,TRUE,1999-07-11 0:00:00,dntrong@gmail.com,168595738,376085441897,2000000,CN
C0127,Cao Văn Minh,Hiệu,TRUE,1999-03-29 0:00:00,cvmhieu@gmail.com,168982483,825378816396,0,CN
C0128,Đinh Thị Thanh,Đào,FALSE,1999-08-04 0:00:00,dttdao@gmail.com,168643551,567223381124,0,CN
C0129,Phạm Văn,Sinh,TRUE,1999-03-31 0:00:00,pvsinh@gmail.com,987463816,149778805950,0,CN
C0130,Đặng Mạnh,Huy,TRUE,1999-05-27 0:00:00,dmhuy@gmail.com,913467919,139279537371,0,CN
C0131,Khương Văn Minh,Huy,TRUE,1999-10-16 0:00:00,kvmhuy@gmail.com,168541651,434456744897,1000000,CN
C0132,Phạm Thị Thanh,Dung,FALSE,1999-09-07 0:00:00,pttdung@gmail.com,913172326,42648721276,2000000,CN
C0133,Phạm Thanh,Tâm,FALSE,1999-04-16 0:00:00,pttam@gmail.com,168587261,710230037048,2000000,CN
C0134,Trần Thảo,Trang,FALSE,1999-07-13 0:00:00,tttrang@gmail.com,913523286,886868678152,0,CN
C0135,Đàm Vĩnh,Mẫn,TRUE,1999-06-11 0:00:00,dvman@gmail.com,913547957,532153343807,3000000,CN
C0136,Văn Bạch,Mỹ,TRUE,1999-04-29 0:00:00,vbmy@gmail.com,987419127,203372986103,1000000,CN
C0137,Văn Nam,Bảo,TRUE,1999-05-05 0:00:00,vnbao@gmail.com,168831446,247276566588,3000000,CN
C0138,Văn Thảo,Mai,FALSE,1999-06-13 0:00:00,vtmai@gmail.com,987802591,56434403148,0,CN
C0139,Mã Nam,Sinh,TRUE,1999-05-13 0:00:00,mnsinh@gmail.com,168226058,738245204655,1000000,CN
C0140,Đàm Vĩnh,Thăng,TRUE,1999-12-02 0:00:00,dvthang@gmail.com,913063278,681253422515,0,CN
C0141,Thái Thị Thanh,Mai,FALSE,1999-10-29 0:00:00,tttmai@gmail.com,987926366,111649423105,0,CN
C0142,Văn Thị Thảo,Thúy,FALSE,1999-10-17 0:00:00,vttthuy@gmail.com,168616505,674018988497,2000000,CN
C0143,Lý Minh,Thanh,TRUE,1999-03-13 0:00:00,lmthanh@gmail.com,913158873,708163564385,3000000,CN
C0144,Nguyễn Nam,Hiệu,TRUE,1999-04-18 0:00:00,nnhieu@gmail.com,987446168,765666386282,0,CN
C0145,Đặng Thanh,Mỹ,FALSE,1999-10-05 0:00:00,dtmy@gmail.com,913896263,389841192358,2000000,CN
C0146,Vương Thị Thanh,Hạnh,FALSE,1999-10-16 0:00:00,vtthanh@gmail.com,987773165,488884215176,1000000,CN
C0147,Nguyễn Thị Thanh,Đào,FALSE,1999-02-21 0:00:00,nttdao@gmail.com,987742684,999921411778,1000000,CN
C0148,Đặng Văn,Thăng,TRUE,1999-03-16 0:00:00,dvthang@gmail.com,913937413,440982447566,1000000,CN
C0149,Cao Thị Thảo,Hương,FALSE,1999-12-14 0:00:00,ctthuong@gmail.com,168821044,700652622226,0,CN
C0150,Lâm Văn Minh,Thăng,TRUE,1999-10-02 0:00:00,lvmthang@gmail.com,913576733,546483764245,3000000,CN
C0151,Lý Thị Thảo,Hạnh,FALSE,1999-07-06 0:00:00,ltthanh@gmail.com,913883771,636424656341,0,CN
C0152,Đặng Thị Thanh,Lan,FALSE,1999-09-24 0:00:00,dttlan@gmail.com,913216005,326354418416,1000000,CN
C0153,Phạm Thanh,Phương,TRUE,1999-07-11 0:00:00,ptphuong@gmail.com,913516753,114781757667,2000000,CN
C0154,Cao Văn Minh,Bảo,TRUE,1999-05-11 0:00:00,cvmbao@gmail.com,913598140,530460808272,3000000,CN
C0155,Trần Văn,Kiệt,TRUE,1999-10-04 0:00:00,tvkiet@gmail.com,913718235,513865093570,0,CN
C0156,Hoàng Thị Thanh,Hạnh,FALSE,1999-01-07 0:00:00,htthanh@gmail.com,168455842,137200937088,0,CN
C0157,Trần Minh,Mỹ,FALSE,1999-02-28 0:00:00,tmmy@gmail.com,913058821,592562456252,2000000,CN
C0158,Trần Nam,Tuấn,TRUE,1999-02-07 0:00:00,tntuan@gmail.com,913416377,508723746611,1000000,CN
C0159,Cao Thị Thanh,Hạnh,FALSE,1999-04-07 0:00:00,ctthanh@gmail.com,913321232,247255066175,1000000,CN
C0160,Phạm Thảo,Mai,FALSE,1999-12-19 0:00:00,ptmai@gmail.com,987316732,791319761675,0,CN
C0161,Mã Phú,Tâm,FALSE,1999-11-26 0:00:00,mptam@gmail.com,168142883,15174421341,3000000,CN
C0162,Đinh Văn Minh,Thăng,TRUE,1999-08-19 0:00:00,dvmthang@gmail.com,987976853,542952314914,1000000,CN
C0163,Đàm Ngọc,Thanh,TRUE,1999-03-12 0:00:00,dnthanh@gmail.com,913315935,638327421817,0,CN
C0164,Thái Minh,Mỹ,FALSE,1999-01-09 0:00:00,tmmy@gmail.com,913313205,242333228303,1000000,CN
C0165,Văn Minh,Ngọc,FALSE,1999-08-25 0:00:00,vmngoc@gmail.com,168620574,489655252872,0,CN
C0166,Lâm Bạch,Thanh,FALSE,1999-07-20 0:00:00,lbthanh@gmail.com,168048752,337365086252,1000000,CN
C0167,Mã Thảo,Ly,FALSE,1999-03-20 0:00:00,mtly@gmail.com,168465823,543884377340,2000000,CN
C0168,Hoàng Phương,Tâm,FALSE,1999-06-26 0:00:00,hptam@gmail.com,987581151,887284523307,2000000,CN
C0169,Đinh Văn Minh,Vỹ,TRUE,1999-08-13 0:00:00,dvmvy@gmail.com,987248889,218434311216,1000000,CN
C0170,Phạm Thị Thanh,Loan,FALSE,1999-08-29 0:00:00,pttloan@gmail.com,168765983,426515279387,0,CN
C0171,Vương Phú,Minh,FALSE,1999-02-14 0:00:00,vpminh@gmail.com,168556656,236761288312,0,CN
C0172,Văn Thị Thanh,Mai,FALSE,1999-11-21 0:00:00,vttmai@gmail.com,913713628,766853715456,2000000,CN
C0173,Trần Nam,Hiệu,TRUE,1999-08-01 0:00:00,tnhieu@gmail.com,987768345,206674606558,1000000,CN
C0174,Hoàng Nam,Thiệu,TRUE,1999-04-18 0:00:00,hnthieu@gmail.com,987741872,152112623703,1000000,CN
C0175,Đặng Thảo,Lan,FALSE,1999-05-29 0:00:00,dtlan@gmail.com,987644618,343353430123,3000000,CN
C0176,Cao Minh,Ngọc,TRUE,1999-12-13 0:00:00,cmngoc@gmail.com,913560171,971184119618,2000000,CN
C0177,Đặng Thị,Lan,FALSE,1999-03-28 0:00:00,dtlan@gmail.com,987185204,13187548126,3000000,CN
C0178,Đàm Văn,Lộc,TRUE,1999-05-21 0:00:00,dvloc@gmail.com,913448520,988837909681,2000000,CN
C0179,Văn Thị,Hạnh,FALSE,1999-07-26 0:00:00,vthanh@gmail.com,913732566,340879046922,2000000,CN
C0180,Nguyễn Văn Minh,Huy,TRUE,1999-04-19 0:00:00,nvmhuy@gmail.com,168343911,925804559478,2000000,CN
C0181,Đàm Mạnh,Kiệt,TRUE,1999-11-04 0:00:00,dmkiet@gmail.com,913312686,523274941356,2000000,CN
C0182,Khương Phương,Ngân,TRUE,1999-04-08 0:00:00,kpngan@gmail.com,913285653,210614313643,3000000,CN
C0183,Lê Văn Minh,Vỹ,TRUE,1999-02-06 0:00:00,lvmvy@gmail.com,987153235,396291512932,0,CN
C0184,Mã Thảo,Dung,FALSE,1999-11-11 0:00:00,mtdung@gmail.com,168745287,815006872808,0,CN
C0185,Lý Văn Minh,Phong,TRUE,1999-08-20 0:00:00,lvmphong@gmail.com,168889657,223939606261,3000000,CN
C0186,Lý Thảo,Hạnh,FALSE,1999-07-26 0:00:00,lthanh@gmail.com,987083017,388574724271,2000000,CN
C0187,Đinh Thảo,Hương,FALSE,1999-02-25 0:00:00,dthuong@gmail.com,987387763,982019652919,2000000,CN
C0188,Đặng Thanh,Ngọc,FALSE,1999-04-05 0:00:00,dtngoc@gmail.com,987834114,819233571527,1000000,CN
C0189,Lý Thị Thảo,Hương,FALSE,1999-06-10 0:00:00,ltthuong@gmail.com,168897157,113561413663,0,CN
C0190,Văn Thị Thảo,Loan,FALSE,1999-07-21 0:00:00,vttloan@gmail.com,913178556,344276294087,2000000,CN
C0191,Đặng Thảo,Ly,FALSE,1999-09-09 0:00:00,dtly@gmail.com,913438784,145548963406,3000000,CN
C0192,Lâm Vĩnh,Tân,TRUE,1999-04-23 0:00:00,lvtan@gmail.com,913953273,556760801316,3000000,CN
C0193,Lý Vĩnh,Tuấn,TRUE,1999-12-25 0:00:00,lvtuan@gmail.com,987482842,890156462574,2000000,CN
C0194,Trần Văn Minh,Tuấn,TRUE,1999-03-08 0:00:00,tvmtuan@gmail.com,987088479,314348477273,1000000,CN
C0195,Lê Văn,Kiệt,TRUE,1999-09-02 0:00:00,lvkiet@gmail.com,987526642,340619040482,3000000,CN
C0196,Đinh Ngọc,Thu,FALSE,1999-06-16 0:00:00,dnthu@gmail.com,168502711,157472777324,0,CN
C0197,Đinh Thảo,Mai,FALSE,1999-01-27 0:00:00,dtmai@gmail.com,168205239,683282117879,3000000,CN
C0198,Lê Văn Minh,Thiện,TRUE,1999-06-27 0:00:00,lvmthien@gmail.com,913495078,163946544228,2000000,CN
C0199,Bạch Phương,Mỹ,TRUE,1999-03-03 0:00:00,bpmy@gmail.com,168855668,704895779953,0,CN
C0200,Đinh Văn,Phong,TRUE,1999-07-21 0:00:00,dvphong@gmail.com,168985248,113824473918,3000000,CN
C0201,Lý Vĩnh,Sang,TRUE,1999-01-29 0:00:00,lvsang@gmail.com,168458283,116681821024,0,CN
C0202,Lê Thảo,Nga,FALSE,1999-02-25 0:00:00,ltnga@gmail.com,913399918,622956823559,2000000,CN
C0203,Khương Thanh,Phương,FALSE,1999-06-01 0:00:00,ktphuong@gmail.com,913257653,813464485434,2000000,CN
C0204,Khương Văn Minh,Tân,TRUE,1999-08-10 0:00:00,kvmtan@gmail.com,987186154,680791265074,3000000,CN
C0205,Cao Văn,Phong,TRUE,1999-04-10 0:00:00,cvphong@gmail.com,913513318,467601440437,2000000,CN
C0206,Hoàng Nam,Tuấn,TRUE,1999-08-13 0:00:00,hntuan@gmail.com,168277247,563185517187,0,CN
C0207,Cao Thanh,Thanh,TRUE,1999-07-06 0:00:00,ctthanh@gmail.com,168138144,330253701009,3000000,CN
C0208,Khương Vĩnh,Tuấn,TRUE,1999-04-28 0:00:00,kvtuan@gmail.com,168966584,158106948490,2000000,CN
C0209,Lâm Vĩnh,Mẫn,TRUE,1999-05-07 0:00:00,lvman@gmail.com,987843380,507951727533,0,CN
C0210,Hoàng Văn Minh,Hòa,TRUE,1999-08-25 0:00:00,hvmhoa@gmail.com,987613368,838826475369,1000000,CN
C0211,Vương Văn Minh,Tuấn,TRUE,1999-11-27 0:00:00,vvmtuan@gmail.com,168781200,578244881843,2000000,CN
C0212,Trần Thị Thanh,Mai,FALSE,1999-10-30 0:00:00,tttmai@gmail.com,913300524,974288773773,1000000,CN
C0213,Văn Thị Thanh,Ly,FALSE,1999-06-06 0:00:00,vttly@gmail.com,168476335,283286560567,2000000,CN
C0214,Mã Thảo,Thúy,FALSE,1999-01-25 0:00:00,mtthuy@gmail.com,987424537,113315323846,0,CN
C0215,Đàm Thị Thanh,Hạnh,FALSE,1999-06-05 0:00:00,dtthanh@gmail.com,987358836,985154249933,3000000,CN
C0216,Đinh Thanh,Thanh,FALSE,1999-04-09 0:00:00,dtthanh@gmail.com,987705817,531437738832,1000000,CN
C0217,Trần Bạch,Thu,TRUE,1999-08-18 0:00:00,tbthu@gmail.com,987731662,753178473118,2000000,CN
C0218,Khương Thị Thanh,Mai,FALSE,1999-10-02 0:00:00,kttmai@gmail.com,987938472,93559659361,3000000,CN
C0219,Đinh Thảo,Đào,FALSE,1999-05-27 0:00:00,dtdao@gmail.com,168997275,720365242316,1000000,CN
C0220,Thái Mạnh,Huy,TRUE,1999-12-03 0:00:00,tmhuy@gmail.com,987494526,401081351210,3000000,CN
